"Season","team1","team2","result","home"
2016,1192,1195,0,0
2016,1435,1455,0,0
2016,1221,1380,1,0
2016,1276,1409,1,0
2016,1114,1345,1,0
2016,1139,1403,1,0
2016,1160,1163,0,0
2016,1181,1423,1,0
2016,1211,1371,1,0
2016,1151,1231,0,0
2016,1233,1235,0,0
2016,1122,1242,0,0
2016,1246,1392,1,0
2016,1138,1274,0,0
2016,1195,1314,0,0
2016,1344,1425,1,0
2016,1201,1428,0,0
2016,1214,1438,0,0
2016,1112,1455,0,0
2016,1124,1463,0,0
2016,1143,1218,0,0
2016,1234,1396,1,0
2016,1268,1355,1,0
2016,1277,1292,0,0
2016,1320,1400,1,0
2016,1276,1323,0,0
2016,1167,1328,0,0
2016,1221,1332,0,0
2016,1372,1452,1,0
2016,1153,1386,0,0
2016,1173,1393,0,0
2016,1401,1453,1,0
2016,1333,1433,0,0
2016,1421,1437,0,0
2016,1338,1458,0,0
2016,1451,1462,0,0
2016,1181,1463,1,0
2016,1211,1428,1,0
2016,1231,1246,1,0
2016,1114,1235,0,0
2016,1163,1242,0,0
2016,1274,1455,1,0
2016,1314,1344,1,0
2016,1139,1438,0,0
2016,1218,1268,0,0
2016,1323,1372,1,0
2016,1328,1433,1,0
2016,1332,1386,1,0
2016,1292,1393,0,0
2016,1320,1401,0,0
2016,1234,1437,0,0
2016,1458,1462,1,0
2016,1242,1268,1,0
2016,1328,1401,1,0
2016,1181,1332,0,0
2016,1274,1437,0,0
2016,1231,1314,0,0
2016,1323,1458,1,0
2016,1211,1393,0,0
2016,1235,1438,0,0
2016,1328,1332,1,0
2016,1242,1437,0,0
2016,1314,1323,1,0
2016,1393,1438,1,0
2016,1314,1393,1,0
2016,1328,1437,0,0
2016,1314,1437,0,0
2017,1243,1448,1,0
2017,1291,1309,1,0
2017,1300,1413,0,0
2017,1344,1425,0,0
2017,1112,1315,1,0
2017,1139,1457,1,0
2017,1190,1196,0,0
2017,1195,1199,0,0
2017,1211,1355,1,0
2017,1235,1305,1,0
2017,1278,1292,0,0
2017,1321,1435,1,0
2017,1323,1343,1,0
2017,1345,1436,1,0
2017,1388,1433,1,0
2017,1291,1437,0,0
2017,1423,1438,0,0
2017,1137,1452,0,0
2017,1439,1458,0,0
2017,1268,1462,0,0
2017,1116,1371,1,0
2017,1124,1308,1,0
2017,1153,1243,1,0
2017,1181,1407,1,0
2017,1242,1413,1,0
2017,1246,1297,1,0
2017,1240,1257,0,0
2017,1276,1329,1,0
2017,1274,1277,0,0
2017,1314,1411,1,0
2017,1233,1332,0,0
2017,1166,1348,0,0
2017,1266,1376,0,0
2017,1245,1417,0,0
2017,1374,1425,0,0
2017,1173,1455,0,0
2017,1112,1388,1,0
2017,1139,1292,1,0
2017,1196,1438,1,0
2017,1211,1321,1,0
2017,1235,1345,0,0
2017,1323,1452,0,0
2017,1437,1458,0,0
2017,1199,1462,0,0
2017,1124,1425,1,0
2017,1242,1277,1,0
2017,1246,1455,1,0
2017,1257,1276,0,0
2017,1116,1314,0,0
2017,1332,1348,1,0
2017,1181,1376,0,0
2017,1153,1417,0,0
2017,1211,1452,1,0
2017,1242,1345,1,0
2017,1276,1332,0,0
2017,1112,1462,0,0
2017,1196,1458,1,0
2017,1246,1417,1,0
2017,1139,1314,0,0
2017,1124,1376,0,0
2017,1211,1462,1,0
2017,1242,1332,0,0
2017,1246,1314,0,0
2017,1196,1376,0,0
2017,1211,1376,1,0
2017,1314,1332,1,0
2017,1211,1314,0,0
2018,1254,1347,0,0
2018,1382,1417,1,0
2018,1113,1393,0,0
2018,1300,1411,0,0
2018,1104,1439,1,0
2018,1112,1138,0,0
2018,1181,1233,1,0
2018,1196,1382,1,0
2018,1211,1422,1,0
2018,1222,1361,1,0
2018,1242,1335,1,0
2018,1172,1246,0,0
2018,1260,1274,1,0
2018,1276,1285,1,0
2018,1326,1355,1,0
2018,1328,1348,0,0
2018,1301,1371,0,0
2018,1397,1460,1,0
2018,1372,1403,0,0
2018,1347,1437,0,0
2018,1120,1158,1,0
2018,1116,1139,0,0
2018,1153,1209,1,0
2018,1155,1308,1,0
2018,1199,1281,1,0
2018,1166,1243,0,0
2018,1267,1455,1,0
2018,1137,1277,0,0
2018,1305,1400,1,0
2018,1252,1314,0,0
2018,1168,1345,0,0
2018,1393,1395,1,0
2018,1344,1401,0,0
2018,1420,1438,1,0
2018,1293,1452,0,0
2018,1411,1462,0,0
2018,1181,1348,1,0
2018,1211,1326,1,0
2018,1242,1371,1,0
2018,1138,1246,0,0
2018,1260,1397,1,0
2018,1222,1276,0,0
2018,1196,1403,0,0
2018,1104,1437,0,0
2018,1120,1155,0,0
2018,1199,1462,1,0
2018,1243,1420,1,0
2018,1153,1305,0,0
2018,1139,1345,0,0
2018,1277,1393,0,0
2018,1314,1401,0,0
2018,1267,1452,0,0
2018,1199,1211,1,0
2018,1243,1246,1,0
2018,1260,1305,1,0
2018,1276,1401,1,0
2018,1181,1393,1,0
2018,1155,1242,0,0
2018,1345,1403,0,0
2018,1437,1452,1,0
2018,1243,1260,0,0
2018,1199,1276,0,0
2018,1181,1242,0,0
2018,1403,1437,0,0
2018,1260,1276,0,0
2018,1242,1437,0,0
2018,1276,1437,0,0
2019,1125,1396,1,0
2019,1192,1341,1,0
2019,1113,1385,1,0
2019,1295,1300,1,0
2019,1120,1308,1,0
2019,1124,1393,1,0
2019,1196,1305,1,0
2019,1199,1436,1,0
2019,1192,1211,0,0
2019,1242,1318,1,0
2019,1101,1246,0,0
2019,1261,1463,1,0
2019,1125,1268,0,0
2019,1276,1285,1,0
2019,1133,1277,0,0
2019,1257,1278,0,0
2019,1266,1293,0,0
2019,1330,1345,0,0
2019,1388,1437,0,0
2019,1371,1459,0,0
2019,1113,1138,0,0
2019,1181,1295,1,0
2019,1209,1222,0,0
2019,1153,1234,0,0
2019,1251,1280,1,0
2019,1233,1314,0,0
2019,1235,1326,0,0
2019,1279,1328,0,0
2019,1332,1458,1,0
2019,1159,1397,0,0
2019,1297,1403,0,0
2019,1243,1414,0,0
2019,1416,1433,1,0
