Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,HI,2011,"9         ",Female,14,Right-Handed,162.6,9,63,1,Car,20,.458,58,Tennis,700,900,800,,800,950,20.32,"Right foot",9,8,"Index finger",September,Winter,Yes,No,"Rice/Noodle dishes",Water,English,8,10,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",2,4,37,1,4,2,7,2,6,4,8,3,0,1,"Very little","Graduate degree",Pop,Telepathy,Happy,Teacher,"Education/Youth development"
USA,PA,2020,"6         ",Female,12,Right-Handed,151,21,156,1,Bus,15,0.529,44,Basketball,1000,1000,1000,1000,775,775,21,"Same length",84,94,"Ring finger",December,Summer,Yes,No,Meat,Water,"Mathematics and statistics",9,7,4,"Yes - broadband connection","In person",60,40,35,14,9,15,16,4,16,5,15,13,4,8,Some,"Graduate degree",Pop,"Freeze time",Healthy,"Community leader or elder",
USA,WI,2016,"8         ",Female,14,Right-Handed,155.4,27,150,3,Car,3,.429,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,DC,2011,"6         ",Male,11,Right-Handed,160,25,157,1,Skateboard/Scooter/Rollerblade,20,0.468,48,Skateboarding/Rollerblading,950,800,900,,1000,1000,24,"Right foot",70,75,"Ring finger",July,Summer,Yes,No,Poultry,Juice,"Mathematics and statistics",9,6,5,"Yes - broadband connection",Other,6,9,9,1,3,4,8,4,0,2,1,3,0,1,Some,"Graduate degree","Rap/Hip hop",Fly,Healthy,"Sports person","Wildlife, animals"
USA,GA,2015,"12        ",Female,17,Right-Handed,152,22.5,160.5,1,Car,7,.425,34,Running/Jogging,100,100,100,100,50,100,21.5,"Right foot",62,62,"Same length",April,Spring,No,No,"No favorite","Soft drink (non-caffeinated)",History,7,7,4,"Yes - broadband connection","Cell phone",100,100,8,3,3,5,0,0,14,17,17,3,0,3,Some,"Graduate degree",Other,Invisibility,Healthy,"Business person","International aid"
USA,IN,2022,"11        ",Female,17,Right-Handed,165,24,165,1,Car,12,0.409,32,Swimming,738,481,487,556,444,449,24,"Same length",70,65,"Same length",December,Fall,Yes,No,Fruit,Water,History,8,9,3,"Yes - broadband connection","In person",20,25,5,1,10,20,1,0,5,5,9,0,18,4,Some,"Graduate degree","Rock and roll","Freeze time",Happy,Relative,Health
USA,OH,2011,"4         ",Male,10,Ambidextrous,150,24,23,3,Car,15,0.5,65,Basketball,879,987,967,,1,50,23,"Right foot",80,80,"Same length",August,Summer,No,No,Other,Tea,"Physical education",10,14,4,"Yes - dial-up connection","Text messaging",20,50,24,1,1,2,15,0,1,5,1,5,1,2,"Very little",Other,Pop,"Super strength",Famous,"Sports person",Other
USA,WI,2019,"12        ",Male,18,Right-Handed,195.5,27,194,1,Car,1,.323,46,Basketball,100,100,100,100,1000,1000,27,"Same length",80,75,"Index finger",December,Winter,No,No,Meat,"Soft drink (caffeinated)","Physical education",7,6,5,"Yes - broadband connection","In person",6,8,14,1,1,3,8,28,26,1/2,30,1,0,3,"Very little","Graduate degree","Rap/Hip hop","Super strength",Rich,"Sports person",Health
USA,FL,2013,"12        ",Male,17,Right-Handed,108.4,24,100.3,1,Bus,30,0.636,51,Other,50,50,50,50,15,15,24,"Same length",16,16,"Same length",November,Winter,Yes,No,Other,Tea,Music,6,7,4,"Yes - other","Cell phone",6,6,0,6,14,5,2,20,20,5,20,3,18,6,"A lot","Graduate degree",Other,"Freeze time",Happy,"Musician or singer",Health
USA,NC,2017,"12        ",Male,18,Right-Handed,177,25,178,1,Car,15,.329,41,Basketball,500,500,500,500,1000,1000,25,"Same length",89,89,"Same length",October,Summer,No,No,Seafood,Water,"Mathematics and statistics",7,6,3,"Yes - other","Text messaging",79,98,15,1,7,15,15,1,3,8,8,2,0,1,Some,"Undergraduate degree","Rap/Hip hop",Fly,Happy,Relative,Other
USA,NC,2018,"12        ",Male,17,Left-Handed,180,28,188.5,1,Car,12,0.703,57,Athletics,900,900,700,700,1000,1000,29,"Left foot",100,90,"Index finger",August,Fall,Yes,No,Meat,Water,"Computers and technology",7,8,4,"Yes - broadband connection","In person",50,70,4,3,6,4,3,0,12,8,12,0,10,2,Some,"Graduate degree","Rhythm and blues (R&B)",Invisibility,Happy,Relative,Health
USA,GA,2018,"11        ",Female,14,Right-Handed,164,18,165,2,Bus,20,.676,34,Dancing,800,750,850,950,450,550,17,"Same length",86,88,"Ring finger",September,Fall,Yes,No,Pizza/Pasta,Water,Other,5,8,4,"Yes - broadband connection",,3000,5000,3,6,7,7,2,0,20,12,73,4,0,2,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Happy,"Religious figure",Health
USA,NC,2016,"12        ",Female,17,Left-Handed,161,24,159,2,Car,15,.735,62,Other,700,700,700,700,800,900,23,"Same length",,,,January,Winter,Yes,No,Pizza/Pasta,Water,Other,5,9,,,,,,,,,,,,,,,,,,,,,,,,
USA,CA,2021,"12        ",Female,17,Right-Handed,"167 ",24,159,2,Car,25,0.721,52,Walking/Hiking,500,1000,645,367,0,577,25,"Left foot",75,80,"Ring finger",February,Winter,Yes,No,Seafood,Water,History,6,8,6,"Yes - broadband connection","In person",15,14,12,2,8,12,0,2,4,2,105,2,20,5,Some,"Graduate degree","Rhythm and blues (R&B)",Telepathy,Happy,"Doctor or nurse","International aid"
USA,CA,2014,"12        ",Male,17,Right-Handed,182.8,27.94,180,2,Car,3,.3,55,Basketball,1000,950,600,1000,1000,1000,26.92,"Right foot",81.2,82.4,"Ring finger",December,Winter,Yes,No,Meat,Water,"Computers and technology",7,8,3,"Yes - broadband connection","Text messaging",250,300,45,1,1,60,30,20,3,1,20,6,2,1,"Very little","High school","Rap/Hip hop",Fly,Happy,"Sports person",Environment
USA,NH,2019,"12        ",Female,18,Right-Handed,62,24,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,NC,2019,"12        ",Female,18,Right-Handed,162,30,150,1,Walk,30,.392,41,Other,0,0,0,0,1000,1000,,,25,25,"Ring finger",April,Spring,No,No,Pizza/Pasta,Water,"Physical education",7,10,4,"Yes - other","Text messaging",50,50,30,7,30,30,20,0,20,20,30,15,15,0,"A lot","Graduate degree",Country,Telepathy,Happy,Relative,Religious
USA,WI,2013,"12        ",Male,18,Right-Handed,183,28,182,1,Car,10,.257,32,Running/Jogging,209,262,749,807,1000,1000,27.9,"Same length",76.2,76.2,"Same length",September,Summer,Yes,No,Meat,Water,"Mathematics and statistics",6.5,10,4,"Yes - broadband connection","In person",60,69,5,2,2,3,10,1,2,1,15,1,7.5,0,"A lot","Undergraduate degree",Country,"Freeze time",Rich,"Sports person",Health
USA,CA,2017,"11        ",Female,16,Right-Handed,152,20,152,1,Car,15,.38,46,Swimming,500,500,500,500,200,700,20,"Same length",65,70,"Ring finger",March,Summer,Yes,No,Meat,Water,"Mathematics and statistics",6,12,6,"Yes - other","Internet chat or instant messaging",100,100,60,5,35,5,20,0,20,20,20,1,10,5,"A lot","Graduate degree",Other,Invisibility,Happy,"Business person","Education/Youth development"
USA,IN,2021,"11        ",Female,17,Right-Handed,166,"23 ",162,1,Car,5,0.461,33,Walking/Hiking,588,519,791,717,508,530,24,"Left foot",85,90,"Ring finger",September,Summer,No,No,Poultry,Water,Art,7,5,5,"Yes - other","Text messaging",150,125,1,2,5,4,0,0,10,20,40,10,0,3,Some,"Graduate degree",Country,Telepathy,Happy,Relative,"Arts, culture, sports"
USA,SC,2010,"12        ",Female,17,Left-Handed,163,90,167,1,Car,20,.218,41,"Hockey (Field)",600,500,190,,1000,1000,91,,70,69,"Index finger",February,Winter,No,No,Seafood,Water,Other,7,12,10,"Yes - dial-up connection","Text messaging",0,4,2,30,2,1,1,2,5,2,3,24,0,3,"A lot","Graduate degree","Rap/Hip hop",Telepathy,Rich,"Musician or singer","Wildlife, animals"
USA,CA,2012,"12        ",Female,17,Left-Handed,157,22.5,160,1,Car,35,.296,,Swimming,529,642,524,765,925,925,21.5,"Right foot",80,80,"Same length",August,Summer,No,No,Desserts,Water,History,8,10,2,"Yes - broadband connection","Text messaging",49,55,8,1,5,3,6,0,3,1,4,12,0,0,"A lot","Undergraduate degree",Techno/Electronic,"Freeze time",Happy,"Business person","International aid"
USA,SC,2022,"11        ",Female,17,Right-Handed,167,23,160,1,Car,17,.357,34,Swimming,1000,1000,1000,925,733,743,24,"Left foot",75,73,"Ring finger",December,Fall,Yes,No,Pizza/Pasta,"Soft drink (caffeinated)",Music,8,10,3,"Yes - broadband connection","In person",3,2,10,0,0,17,0,10,20,1,40,5,0,0,"A lot",Other,Other,Fly,Healthy,Friend,Environment
