Team,,Record,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,,SSF,,EW,EL
South Carolina,Southeastern,31-0,1.000,,1,9.78,1,79.97,2,107.16,1,37.98,2.69,4,57.95,3,58.50,0.75,0.25
Connecticut,Big East,27-5,0.844,-1,3,8.91,2,74.57,4,105.42,4,34.32,2.69,12,56.94,12,56.95,0.89,0.11
Stanford,Pac 12,28-4,0.875,-1,4,8.91,3,73.10,5,103.63,3,34.64,2.63,14,56.64,13,56.92,0.74,0.26
Iowa,Big 10,28-4,0.875,+2,2,8.92,4,72.08,1,113.86,109,23.38,2.53,2,58.49,2,58.59,0.76,0.24
Texas,Big 12,28-4,0.875,+1,5,8.79,5,71.59,8,102.85,5,33.92,2.62,31,54.47,33,54.47,0.00,0.00
LSU,Southeastern,28-4,0.875,+2,6,8.73,6,70.05,3,106.15,34,29.07,2.60,38,53.90,26,54.97,0.25,0.75
UCLA,Pac 12,25-6,0.806,,7,8.73,7,69.10,18,100.86,6,33.42,2.63,1,58.95,1,58.95,0.00,0.00
Notre Dame,Atlantic Coast,25-6,0.806,+2,10,8.64,8,68.50,14,102.14,13,31.53,2.70,9,57.30,7,57.68,0.52,0.48
Indiana,Big 10,24-5,0.828,-2,11,8.61,9,67.98,13,102.18,20,30.97,2.76,20,55.96,20,55.96,0.00,0.00
Ohio St,Big 10,25-5,0.833,-3,8,8.67,10,67.91,7,102.88,29,30.20,2.71,8,57.48,9,57.48,0.00,0.00
NC State,Atlantic Coast,27-5,0.844,+1,9,8.65,11,67.88,19,100.20,7,32.84,2.67,16,56.19,15,56.63,0.48,0.52
Utah,Pac 12,22-10,0.688,-1,19,8.36,12,66.34,10,102.59,37,28.92,2.77,10,57.20,10,57.20,0.00,0.00
Baylor,Big 12,24-7,0.774,-1,16,8.39,13,66.26,22,99.36,11,32.08,2.73,30,54.54,32,54.54,0.00,0.00
Colorado,Pac 12,22-9,0.710,,17,8.39,14,65.46,20,100.05,26,30.58,2.69,5,57.87,6,57.87,0.00,0.00
Virginia Tech,Atlantic Coast,24-7,0.774,-2,13,8.45,15,65.16,24,98.83,15,31.50,2.73,17,56.19,17,56.19,0.00,0.00
Duke,Atlantic Coast,20-11,0.645,-1,23,8.22,16,64.67,58,93.42,2,36.42,2.71,13,56.80,14,56.80,0.00,0.00
USC,Pac 12,25-5,0.833,+1,12,8.58,17,64.63,27,98.30,14,31.50,2.63,7,57.55,5,58.09,0.26,0.74
Louisville,Atlantic Coast,24-9,0.727,-2,21,8.30,18,64.32,23,98.86,25,30.63,2.70,23,55.76,23,55.76,0.00,0.00
Tennessee,Southeastern,19-12,0.613,+2,24,8.19,19,64.25,16,101.37,46,28.05,2.73,3,58.11,4,58.11,0.00,0.00
Maryland,Big 10,19-13,0.594,+1,28,8.13,20,63.80,9,102.72,60,26.25,2.82,6,57.60,8,57.60,0.00,0.00
Oregon St,Pac 12,24-7,0.774,+1,15,8.41,21,63.50,36,96.72,12,31.95,2.62,15,56.59,16,56.59,0.00,0.00
Iowa St,Big 12,19-10,0.655,+2,29,8.11,22,63.29,17,100.94,51,27.52,2.80,25,55.37,25,55.37,0.00,0.00
Kansas St,Big 12,25-6,0.806,+2,18,8.37,23,62.85,44,95.92,10,32.10,2.73,26,54.69,28,54.69,0.00,0.00
Michigan St,Big 10,22-8,0.733,-2,27,8.15,24,62.75,11,102.53,74,25.40,2.69,43,53.33,43,53.33,0.00,0.00
Gonzaga,West Coast,29-2,0.935,,14,8.42,25,62.57,21,99.54,43,28.21,2.65,77,47.82,77,47.82,0.00,0.00
Oklahoma,Big 12,22-8,0.733,+1,22,8.24,26,62.57,6,103.42,90,24.33,2.61,22,55.88,22,55.88,0.00,0.00
West Virginia,Big 12,24-7,0.774,-1,25,8.17,27,62.18,40,96.32,18,31.03,2.73,57,51.70,57,51.70,0.00,0.00
Creighton,Big East,25-4,0.862,+1,20,8.33,28,61.83,26,98.37,40,28.63,2.62,52,52.51,53,52.31,0.88,0.12
North Carolina,Atlantic Coast,19-12,0.613,-2,32,8.06,29,61.71,46,95.62,17,31.26,2.83,18,56.03,18,56.03,0.00,0.00
Mississippi,Southeastern,23-8,0.742,+2,26,8.15,30,61.60,55,94.18,9,32.60,2.62,41,53.41,41,53.41,0.00,0.00
Arizona,Pac 12,17-15,0.531,+1,36,7.95,31,61.34,30,97.59,36,28.93,2.69,11,57.08,11,57.08,0.00,0.00
