"Season","DayNum","team1_TeamID","team1_Score","team2_TeamID","team2_Score","WLoc","NumOT","team1_FGM","team1_FGA","team1_FGM3","team1_FGA3","team1_FTM","team1_FTA","team1_OR","team1_DR","team1_Ast","team1_TO","team1_Stl","team1_Blk","team1_PF","team2_FGM","team2_FGA","team2_FGM3","team2_FGA3","team2_FTM","team2_FTA","team2_OR","team2_DR","team2_Ast","team2_TO","team2_Stl","team2_Blk","team2_PF","league","PT_margin","FTA_margin","PF_margin","OR_margin","DR_margin","FGA_margin","FGA3_margin","TO_margin","Stl_margin","Ast_margin","Blk_margin"
2025,0,1104,110,1421,54,"H",0,38,60,8,18,26,37,14,40,21,10,5,6,12,20,73,6,26,8,14,13,12,8,8,6,2,22,"MNCAA",56,23,-10,1,28,-13,-8,2,-1,13,4
2025,0,1112,93,1145,64,"H",0,33,68,8,28,19,27,15,25,20,9,12,3,15,22,51,10,26,10,13,4,18,12,19,7,1,20,"MNCAA",29,14,-5,11,7,17,2,-10,5,8,2
2025,0,1117,80,1103,75,"H",1,34,73,9,30,3,6,11,33,14,13,8,9,10,28,79,10,34,9,13,16,30,19,14,9,3,11,"MNCAA",5,-7,-1,-5,3,-6,-4,-1,-1,-5,6
2025,0,1119,67,1107,59,"H",0,22,50,5,17,18,28,7,29,11,12,4,3,18,22,60,4,24,11,16,5,25,11,9,8,2,24,"MNCAA",8,12,-6,2,4,-10,-7,3,-4,0,1
2025,0,1130,69,1154,60,"H",0,21,54,5,18,22,28,11,28,10,14,7,2,21,20,52,3,24,17,25,8,21,11,14,8,5,22,"MNCAA",9,3,-1,3,7,2,-6,0,-1,-1,-3
2025,0,1133,88,1369,60,"H",0,30,54,10,23,18,25,10,26,15,15,10,3,10,24,57,6,23,6,10,7,17,8,17,11,2,20,"MNCAA",28,15,-10,3,9,-3,0,-2,-1,7,1
2025,0,1137,85,1174,73,"A",0,29,55,10,19,17,27,4,30,14,16,6,2,17,27,64,8,26,11,18,5,21,13,14,8,5,24,"MNCAA",12,9,-7,-1,9,-9,-7,2,-2,1,-3
2025,0,1138,83,1330,82,"A",0,32,57,10,22,9,17,5,23,17,13,9,6,10,33,77,12,30,4,8,17,24,15,14,9,4,13,"MNCAA",1,9,-3,-12,-1,-20,-8,-1,0,2,2
2025,0,1139,72,1283,65,"H",0,21,47,9,20,21,28,9,21,12,18,6,6,14,25,67,9,28,6,10,12,15,13,12,13,2,28,"MNCAA",7,18,-14,-3,6,-20,-8,6,-7,-1,4
2025,0,1141,74,1375,70,"A",0,26,52,9,31,13,17,9,21,17,12,11,1,13,25,53,9,28,11,16,5,18,15,15,5,1,13,"MNCAA",4,1,0,4,3,-1,3,-3,6,2,0
2025,0,1143,86,1167,73,"H",0,24,57,7,23,31,40,12,22,12,11,7,3,20,27,62,9,16,10,18,13,21,6,17,5,3,28,"MNCAA",13,22,-8,-1,1,-5,7,-6,2,6,0
2025,0,1150,88,1342,79,"H",0,31,54,11,22,15,19,3,13,20,4,6,0,9,32,57,9,21,6,10,9,19,18,9,3,4,16,"MNCAA",9,9,-7,-6,-6,-3,1,-5,3,2,-4
2025,0,1153,109,1115,54,"H",0,42,72,12,24,13,23,16,31,27,9,10,7,12,20,59,5,19,9,14,7,16,7,16,5,2,20,"MNCAA",55,9,-8,9,15,13,5,-7,5,20,5
2025,0,1155,91,1149,64,"H",0,32,65,11,21,16,24,11,26,16,7,9,6,20,20,50,11,25,13,27,10,21,13,17,5,0,18,"MNCAA",27,-3,2,1,5,15,-4,-10,4,3,6
2025,0,1157,60,1444,56,"H",0,22,47,6,20,10,15,3,30,13,9,4,3,22,18,52,3,15,17,28,8,23,5,8,7,2,16,"MNCAA",4,-13,6,-5,7,-5,5,1,-3,8,1
2025,0,1158,90,1356,80,"N",0,31,55,9,20,19,30,5,24,17,15,3,4,23,25,62,5,21,25,33,9,17,12,9,11,1,21,"MNCAA",10,-3,2,-4,7,-7,-1,6,-8,5,3
2025,0,1160,76,1186,56,"H",0,27,59,9,23,13,17,13,30,16,18,12,5,13,21,58,5,16,9,14,5,19,13,15,14,4,18,"MNCAA",20,3,-5,8,11,1,7,3,-2,3,1
2025,0,1161,82,1315,56,"H",0,35,60,4,17,8,19,5,30,25,10,12,6,23,17,48,5,16,17,23,3,26,5,20,4,3,19,"MNCAA",26,-4,4,2,4,12,1,-10,8,20,3
2025,0,1162,81,1259,78,"A",0,25,56,7,23,24,30,8,20,15,12,8,1,16,29,63,7,25,13,18,9,24,11,15,8,1,19,"MNCAA",3,12,-3,-1,-4,-7,-2,-3,0,4,0
2025,0,1173,87,1384,57,"H",0,31,68,8,32,17,25,15,29,20,7,8,4,12,22,58,6,21,7,11,4,24,11,12,3,3,19,"MNCAA",30,14,-7,11,5,10,11,-5,5,9,1
2025,0,1177,80,1475,78,"H",1,29,64,14,37,8,22,9,23,11,10,6,4,13,31,62,6,14,10,12,7,28,9,14,4,3,16,"MNCAA",2,10,-3,2,-5,2,23,-4,2,2,1
2025,0,1181,96,1263,62,"H",0,35,63,11,29,15,20,10,29,17,12,10,3,18,21,57,3,14,17,18,6,18,4,13,9,0,19,"MNCAA",34,2,-1,4,11,6,15,-1,1,13,3
2025,0,1194,97,1232,64,"N",0,34,61,11,23,18,27,7,36,18,16,15,6,18,21,64,13,37,9,14,6,21,15,21,11,1,23,"MNCAA",33,13,-5,1,15,-3,-14,-5,4,3,5
2025,0,1196,98,1378,83,"N",0,33,63,5,26,27,33,11,26,12,8,8,5,16,28,63,13,27,14,17,10,19,16,15,8,0,27,"MNCAA",15,16,-11,1,7,0,-1,-7,0,-4,5
2025,0,1199,74,1297,62,"H",0,28,63,4,22,14,18,6,22,14,12,14,6,18,19,49,7,28,17,23,4,28,14,22,7,1,17,"MNCAA",12,-5,1,2,-6,14,-6,-10,7,0,5
2025,0,1203,76,1479,59,"H",0,24,53,4,23,24,34,11,23,14,12,9,1,17,21,56,6,17,11,13,8,16,11,12,3,4,23,"MNCAA",17,21,-6,3,7,-3,6,0,6,3,-3
2025,0,1204,80,1296,65,"H",0,31,64,12,27,6,12,8,24,17,15,14,2,21,22,58,8,30,13,17,8,26,12,19,9,5,15,"MNCAA",15,-5,6,0,-2,6,-3,-4,5,5,-3
2025,0,1206,75,1300,58,"H",0,21,51,2,17,31,41,16,28,12,16,6,1,19,16,57,5,21,21,25,9,15,7,10,8,2,30,"MNCAA",17,16,-11,7,13,-6,-4,6,-2,5,-1
2025,0,1208,83,1399,78,"H",0,34,66,4,18,11,18,14,25,15,12,10,4,14,30,61,11,28,7,11,4,15,15,13,7,2,18,"MNCAA",5,7,-4,10,10,5,-10,-1,3,0,2
2025,0,1209,71,1123,66,"H",0,27,65,2,11,15,22,14,34,14,6,3,3,18,22,68,8,33,14,24,14,27,11,6,1,0,16,"MNCAA",5,-2,2,0,7,-3,-22,0,2,3,3
2025,0,1211,101,1124,63,"H",0,40,71,13,31,8,13,15,28,24,11,8,3,18,23,62,3,21,14,20,13,18,11,11,8,4,14,"MNCAA",38,-7,4,2,10,9,10,0,0,13,-1
2025,0,1213,89,1168,79,"H",0,28,59,10,31,23,32,16,20,15,17,9,1,26,24,50,7,17,24,30,8,17,11,17,10,1,25,"MNCAA",10,2,1,8,3,9,14,0,-1,4,0
2025,0,1217,79,1265,66,"H",0,30,48,7,17,12,16,5,22,12,12,6,3,15,26,63,8,20,6,10,8,15,10,8,10,1,14,"MNCAA",13,6,1,-3,7,-15,-3,4,-4,2,2
2025,0,1222,97,1238,40,"H",0,39,67,12,20,7,7,11,26,19,9,12,6,13,13,47,4,23,10,15,7,16,8,20,3,3,14,"MNCAA",57,-8,-1,4,10,20,-3,-11,9,11,3
2025,0,1228,112,1183,67,"H",0,31,64,16,42,34,46,14,42,16,13,2,9,21,26,68,4,12,11,25,3,21,5,7,5,1,29,"MNCAA",45,21,-8,11,21,-4,30,6,-3,11,8
2025,0,1234,89,1477,67,"H",0,32,70,10,29,15,20,14,21,23,14,13,10,13,29,62,7,24,2,6,10,21,12,24,5,5,18,"MNCAA",22,14,-5,4,0,8,5,-10,8,11,5
2025,0,1235,83,1290,44,"H",0,28,59,5,21,22,29,11,25,16,12,16,6,12,19,51,1,12,5,11,5,24,8,23,9,1,19,"MNCAA",39,18,-7,6,1,8,9,-11,7,8,5
2025,0,1241,88,1325,78,"H",0,31,57,10,20,16,26,9,27,15,13,6,4,19,30,59,7,18,11,20,4,17,11,9,8,2,19,"MNCAA",10,6,0,5,10,-2,2,4,-2,4,2
2025,0,1242,87,1224,57,"H",0,32,53,11,22,12,16,5,28,20,14,11,7,14,22,58,8,22,5,12,8,18,12,15,9,1,12,"MNCAA",30,4,2,-3,10,-5,0,-1,2,8,6
2025,0,1245,70,1418,66,"A",0,21,50,6,24,22,28,11,21,9,15,3,3,19,22,49,9,20,13,21,4,20,14,10,7,3,22,"MNCAA",4,7,-3,7,1,1,4,5,-4,-5,0
2025,0,1246,103,1460,62,"H",0,39,65,11,24,14,19,7,33,30,7,11,4,14,24,68,5,27,9,12,10,20,8,12,4,1,12,"MNCAA",41,7,2,-3,13,-3,-3,-5,7,22,3
2025,0,1247,65,1110,52,"H",0,23,55,5,16,14,18,9,27,7,5,5,3,14,20,55,9,31,3,8,8,20,13,9,3,3,16,"MNCAA",13,10,-2,1,7,0,-15,-4,2,-6,0
2025,0,1251,83,1434,63,"N",0,32,59,10,24,9,13,4,28,15,5,6,5,16,22,63,2,15,17,21,8,22,7,8,1,2,13,"MNCAA",20,-8,3,-4,6,-4,9,-3,5,8,3
2025,0,1252,77,1182,72,"A",0,25,48,9,21,18,26,2,28,16,16,3,2,18,28,62,6,20,10,19,8,24,10,14,6,4,22,"MNCAA",5,7,-4,-6,4,-14,1,2,-3,6,-2
2025,0,1257,93,1287,45,"H",0,32,71,11,36,18,28,14,33,21,5,12,6,21,12,52,3,21,18,27,11,31,4,20,1,3,20,"MNCAA",48,1,1,3,2,19,15,-15,11,17,3
2025,0,1260,79,1152,72,"H",0,26,63,6,25,21,29,8,30,14,8,6,5,19,26,62,8,26,12,20,4,27,12,12,8,6,23,"MNCAA",7,9,-4,4,3,1,-1,-4,-2,2,-1
2025,0,1266,102,1392,62,"H",0,40,68,9,31,13,17,10,29,22,7,10,2,16,22,60,7,25,11,15,10,16,12,13,3,1,14,"MNCAA",40,2,2,0,13,8,6,-6,7,10,1
2025,0,1268,79,1264,49,"H",0,31,70,5,23,12,17,16,35,13,9,7,9,17,16,59,5,27,12,15,6,25,8,11,3,2,15,"MNCAA",30,2,2,10,10,11,-4,-2,4,5,7
2025,0,1269,103,1306,74,"H",0,42,79,12,35,7,11,11,30,25,8,13,8,19,28,74,11,33,7,17,14,22,17,15,2,2,15,"MNCAA",29,-6,4,-3,8,5,2,-7,11,8,6
2025,0,1272,83,1281,75,"H",0,26,57,8,20,23,30,11,24,16,16,8,3,24,26,57,7,24,16,25,8,19,16,14,11,2,24,"MNCAA",8,5,0,3,5,0,-4,2,-3,0,1
2025,0,1274,113,1192,72,"H",0,46,69,7,17,14,18,9,27,16,7,11,1,21,25,53,7,23,15,24,5,12,10,14,2,1,19,"MNCAA",41,-6,2,4,15,16,-6,-7,9,6,0
2025,0,1275,77,1111,63,"A",0,27,59,11,25,12,13,4,25,9,14,13,4,18,21,53,9,32,12,21,10,20,11,18,8,5,16,"MNCAA",14,-8,2,-6,5,6,-7,-4,5,-2,-1
2025,0,1276,101,1156,53,"H",0,39,57,10,18,13,22,6,22,22,16,11,8,16,21,70,2,19,9,11,18,13,5,20,10,4,21,"MNCAA",48,11,-5,-12,9,-13,-1,-4,1,17,4
2025,0,1277,81,1284,57,"H",0,30,61,3,18,18,27,12,29,23,13,6,8,15,17,61,8,27,15,16,7,19,9,14,7,2,23,"MNCAA",24,11,-8,5,10,0,-9,-1,-1,14,6
2025,0,1279,90,1254,60,"H",0,28,57,9,22,25,32,9,27,12,14,10,13,18,20,58,5,15,15,24,8,18,6,15,9,5,22,"MNCAA",30,8,-4,1,9,-1,7,-1,1,6,8
