"Season","team1","team2","result","home"
2016,3107,3196,1,-1
2016,3113,3308,1,1
2016,3120,3385,1,0
2016,3124,3225,1,1
2016,3177,3241,1,0
2016,3203,3243,0,0
2016,3146,3257,0,-1
2016,3125,3277,0,0
2016,3151,3280,0,-1
2016,3138,3326,0,-1
2016,3333,3407,1,1
2016,3239,3376,0,-1
2016,3329,3382,0,0
2016,3119,3393,0,-1
2016,3397,3453,1,0
2016,3343,3452,0,0
2016,3163,3352,1,1
2016,3182,3371,1,0
2016,3199,3292,1,0
2016,3208,3231,0,0
2016,3246,3421,1,1
2016,3233,3268,0,-1
2016,3140,3281,0,0
2016,3299,3323,0,-1
2016,3328,3345,1,0
2016,3274,3355,0,0
2016,3161,3378,0,0
2016,3362,3390,0,-1
2016,3106,3400,0,-1
2016,3283,3401,0,-1
2016,3218,3417,0,-1
2016,3335,3449,0,0
2016,3120,3124,0,-1
2016,3177,3257,1,-1
2016,3277,3280,0,1
2016,3326,3452,1,1
2016,3333,3382,1,1
2016,3243,3376,0,-1
2016,3107,3393,0,-1
2016,3113,3397,0,1
2016,3163,3182,1,1
2016,3199,3401,1,-1
2016,3246,3328,1,1
2016,3231,3323,0,-1
2016,3355,3390,0,-1
2016,3281,3400,0,-1
2016,3378,3417,0,-1
2016,3268,3449,0,1
2016,3323,3390,0,0
2016,3376,3393,0,0
2016,3326,3397,0,0
2016,3246,3449,0,0
2016,3124,3199,1,0
2016,3163,3280,1,0
2016,3177,3333,0,0
2016,3400,3417,1,0
2016,3393,3397,1,0
2016,3390,3449,0,0
2016,3163,3400,1,0
2016,3124,3333,0,0
2016,3163,3333,1,0
2016,3393,3449,1,0
2016,3163,3393,1,0
2017,3113,3277,1,0
2017,3166,3405,1,0
2017,3177,3320,1,0
2017,3199,3442,1,1
2017,3125,3246,0,-1
2017,3137,3268,0,-1
2017,3280,3407,1,1
2017,3281,3378,1,0
2017,3120,3301,0,0
2017,3323,3352,1,1
2017,3326,3443,1,0
2017,3253,3333,0,-1
2017,3345,3453,1,0
2017,3376,3421,1,1
2017,3146,3400,0,-1
2017,3189,3452,0,0
2017,3124,3411,1,1
2017,3143,3261,1,0
2017,3107,3163,0,-1
2017,3181,3214,1,1
2017,3179,3243,0,-1
2017,3151,3257,0,-1
2017,3195,3274,0,-1
2017,3211,3328,0,0
2017,3332,3396,1,0
2017,3266,3346,0,0
2017,3308,3390,0,0
2017,3235,3393,0,0
2017,3173,3397,0,0
2017,3335,3401,0,0
2017,3129,3417,0,-1
2017,3286,3449,0,-1
2017,3199,3281,1,1
2017,3268,3452,1,1
2017,3177,3280,0,-1
2017,3323,3345,1,1
2017,3246,3326,0,1
2017,3166,3333,0,-1
2017,3113,3376,0,-1
2017,3301,3400,0,-1
2017,3124,3143,1,1
2017,3163,3393,1,1
2017,3257,3397,1,1
2017,3181,3332,0,1
2017,3274,3346,0,1
2017,3243,3390,0,1
2017,3401,3417,0,-1
2017,3328,3449,0,-1
2017,3124,3257,1,0
2017,3280,3449,1,0
2017,3323,3326,1,0
2017,3390,3400,1,0
2017,3163,3417,1,1
2017,3199,3333,1,0
2017,3268,3332,0,0
2017,3346,3376,0,0
2017,3124,3280,0,0
2017,3323,3390,0,0
2017,3163,3332,1,1
2017,3199,3376,0,0
2017,3163,3280,0,0
2017,3376,3390,1,0
2017,3280,3376,0,0
2018,3124,3212,1,1
2018,3177,3328,1,0
2018,3129,3257,0,-1
2018,3173,3266,0,0
2018,3268,3343,1,0
2018,3276,3294,1,0
2018,3278,3453,1,0
2018,3189,3301,0,-1
2018,3169,3323,0,-1
2018,3332,3370,1,1
2018,3333,3443,1,0
2018,3299,3376,0,-1
2018,3251,3397,0,-1
2018,3179,3401,0,-1
2018,3355,3437,0,0
2018,3143,3438,0,0
2018,3113,3304,1,0
2018,3138,3378,1,0
2018,3141,3261,1,0
2018,3163,3384,1,1
2018,3166,3234,1,0
2018,3125,3181,0,0
2018,3195,3281,1,0
2018,3114,3199,0,-1
2018,3208,3273,1,1
2018,3280,3311,1,1
2018,3203,3326,0,-1
2018,3329,3393,1,0
2018,3274,3346,0,0
2018,3211,3390,0,-1
2018,3263,3400,0,-1
2018,3110,3417,0,-1
2018,3124,3276,1,1
2018,3257,3266,1,1
2018,3268,3301,0,-1
2018,3323,3437,1,1
2018,3278,3332,0,-1
2018,3333,3397,1,-1
2018,3376,3438,1,1
2018,3177,3401,0,-1
2018,3138,3199,1,-1
2018,3141,3326,1,-1
2018,3163,3346,1,1
2018,3181,3208,1,-1
2018,3280,3329,1,1
2018,3195,3390,0,-1
2018,3113,3400,0,-1
2018,3166,3417,0,-1
2018,3257,3390,1,1
2018,3280,3301,1,0
2018,3124,3333,0,0
2018,3400,3417,0,0
2018,3163,3181,1,0
2018,3323,3401,1,0
2018,3141,3332,0,0
2018,3138,3376,0,0
2018,3257,3333,1,0
2018,3280,3417,1,0
2018,3163,3376,1,0
2018,3323,3332,1,0
2018,3257,3280,0,0
2018,3163,3323,0,0
2018,3280,3323,0,0
2019,3113,3416,1,0
